,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
올인원 패키지 : 권오상의 금융 아카데미 - 권오상 회계사의 자금조달 분석 및 가치평가 (수강시간 제한),1,2,1,0,1,2,2,0,1,0,1,1,1,2,4,3,0,0,1,0,2,1,0,0,0,2,1,1,1,3,4
초격차 패키지 : 4인4색 노하우로 승인받는 나만의 첫 이모티콘,1,1,1,0,10,1,0,3,3,5,4,1,2,0,1,0,1,3,1,0,0,0,1,2,3,0,1,2,1,1,2
올인원 패키지 : 100억을 움직이는 50가지 PPT 디자인 원칙,1,1,0,0,0,1,1,1,1,1,5,3,3,3,0,2,3,7,3,1,5,3,3,0,3,0,0,1,5,3,7
이필성의 포토클래스 시선을 사로잡는 특별한 사진을 만드는 법 Online.,1,1,0,0,1,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
올인원패키지: 17개 실습으로 마스터하는 딥러닝 전이학습 with TensorFlow Hub,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
조MD의 스마트스토어 순수익으로 월급 뛰어넘기,1,1,0,0,2,4,0,3,5,0,2,1,3,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,2,1
The RED : 칼만필터를 활용한 자율주행 센서퓨전 기술 구현 by 조형기,1,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
올인원 패키지 : AutoML 시스템 구축으로 익히는 모델 선택 및 하이퍼파라미터 튜닝,1,0,0,0,0,1,1,2,1,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0
올인원 패키지 : 클라우드를 활용한 데이터 파이프라인 구축,1,0,0,1,1,0,2,1,1,1,2,1,1,1,0,1,0,0,1,0,0,0,1,1,0,3,0,1,0,1,0
The Red : Facebook Prophet을 활용한 파이썬 시계열 예측 by Juber Rahman 박사,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0
올인원 패키지 : 리눅스 실전 정복,1,0,0,0,4,2,2,1,1,1,1,1,3,0,0,0,0,1,0,3,3,1,2,1,2,0,0,1,0,0,1
초격차 패키지 : 한 번에 끝내는 SQL과 데이터 시각화,1,0,0,2,8,2,3,3,6,2,6,1,3,0,0,2,0,5,5,0,0,1,2,1,3,1,5,1,1,5,4
네오아카데미: 3명의 아트디렉터에게 배우는 일러스트 스타터 kit,1,0,4,7,5,0,2,2,3,1,10,1,2,2,3,6,3,6,1,2,3,2,1,3,1,1,0,2,13,5,5
"올인원 패키지 : 가장 쉽게 시작하는 데이터 분석, SQL 유치원",1,0,1,2,2,0,2,2,5,0,3,2,3,0,0,2,0,1,4,4,3,3,2,5,5,3,0,2,1,4,5
올인원 패키지 : 수학적으로 접근하는 딥러닝,1,0,0,0,2,0,2,2,0,0,0,2,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
올인원 패키지 : 가장 빨리 도달하는 객체 감지 알고리즘 YOLO!,1,0,0,1,2,0,1,2,4,1,2,3,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,2,2,4
The Red : 딥러닝 뉴럴네트워크 GNN,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,1,0,1,1
"올인원 패키지 : A/B 테스트 탑재, 개인화 마케팅 끝장내기",1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Next.js 완전 정복 : 확장성 높은 커머스 서비스 구축하기,1,2,0,1,9,0,4,6,8,2,9,3,3,4,5,1,1,4,3,2,3,4,3,2,5,5,4,2,3,0,7
초단기 완성 : 14일 만에 만드는 스타벅스 웹 사이트 with HTML&CSS,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,1,1,0,0,1,1,1,4,1,0
올인원 패키지 : 최성일의 코딩 초급자를 위한 웹 모션 디자인,1,0,0,0,0,3,1,0,3,0,1,1,2,1,0,0,0,0,0,0,2,1,2,1,0,0,1,2,0,0,2
올인원 패키지 : 13만 구독자 피피티프로젝트의 누구나 쉽게 배우는 시선강탈 피피티 디자인,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,1
